epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
92,32859.3,0.37317,0.15206,0.00119,0.99338,0.99134,0.9946,0.97292,0.24701,0.09236,0.0012,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,33219.3,0.36992,0.15039,0.00119,0.99332,0.99182,0.99462,0.97311,0.24653,0.0923,0.0012,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,33578.8,0.37171,0.15283,0.00118,0.99356,0.99161,0.9946,0.97316,0.24649,0.0926,0.0012,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,33951.1,0.3692,0.15231,0.00119,0.99361,0.99201,0.99463,0.97323,0.24645,0.09201,0.0012,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,34311.2,0.36997,0.15037,0.00118,0.9919,0.99203,0.99459,0.97304,0.24636,0.09271,0.00119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,34669.4,0.36581,0.14907,0.00118,0.99354,0.99059,0.99455,0.97307,0.24614,0.09199,0.00119,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,35028.3,0.3683,0.14992,0.00119,0.99412,0.99161,0.99459,0.97329,0.24576,0.09053,0.00119,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,35395,0.36521,0.14625,0.00117,0.99396,0.99219,0.99459,0.97327,0.2457,0.09009,0.00119,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,35763.1,0.3674,0.14834,0.00116,0.99366,0.99133,0.99457,0.97322,0.24553,0.09105,0.00119,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,36123,0.36896,0.14936,0.00116,0.99366,0.99138,0.99457,0.97322,0.24537,0.09136,0.00119,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,36482.9,0.36957,0.15002,0.00118,0.99333,0.99216,0.99457,0.97328,0.24516,0.09209,0.00119,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,36842.7,0.37131,0.15213,0.00119,0.99372,0.99179,0.99458,0.97337,0.245,0.09181,0.00119,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,37215.8,0.36887,0.14909,0.00117,0.99367,0.99162,0.99458,0.97339,0.24506,0.09076,0.00119,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
